state,neigh,AFFGEOID,AFFGEOID.a,AFFGEOID.b,n_obs,sum_pernum,mean_pernum,p_move,mean_inc,sd_inc,q1_inc,q2_inc,q3_inc,mean_inc_nwage,mean_i_white,mean_i_black,mean_i_native,mean_i_asian,mean_i_hispanic,p_ownership,mean_rent,sd_rent,q1_rent,q2_rent,q3_rent,mean_valueh,sd_valueh,q1_valueh,q2_valueh,q3_valueh
SD,muni,1600000US4652980,,,10266,28100,2.73719072667056,0.788474132285527,606.349692257856,842.488103441835,0,250,980,0.156059767570559,0.994350282485876,0.000584453535943892,0.0050652639781804,0,1,0.445585621173217,42.4245943952802,293.706280415119,15,25,32,215540.271054965,1442801.98895687,700,2500,4000
SD,muni,0500000US46103,,,3,6,2,1,125,,125,125,125,0.333333333333333,1,0,0,0,1,0,25,0,25,25,25,,,,,
SD,muni,0600000US4610335300,,,147,460,3.12925170068027,0.959016393442623,276.949494949495,422.78168664935,0,39,500,0.24,1,0,0,0,1,0.306122448979592,11.4166666666667,3.52344414380846,8,12,15,1333887.73333333,3437537.58251737,200,500,1200
SD,muni,0600000US4609359610,,,3,4,1.33333333333333,0.333333333333333,0,,0,0,0,,1,0,0,0,1,0.666666666666667,4,,4,4,4,700,0,700,700,700
SD,muni,0600000US4604530700,,,170,447,2.62941176470588,0.331168831168831,134.755395683453,354.66489269729,0,0,0,0.287769784172662,1,0,0,0,1,0.623529411764706,7.5,2.38380781157787,5,8,9,1567.16981132075,790.655851588662,1000,1800,2000
SD,muni,0500000US46117,,,728,1883,2.58653846153846,0.709480122324159,214.004160887656,425.995834922775,0,0,200,0.167127071823204,0.967032967032967,0,0.032967032967033,0,1,0.461538461538462,14.0128865979381,7.40188808356199,10,12,20,120462.758928571,1086038.30872517,487.5,1000,2000
SD,muni,0600000US4612531020,,,1,1,1,1,450,,450,450,450,0,1,0,0,0,1,,,,,,,,,,,
SD,muni,0600000US4612556180,,,4,7,1.75,0.666666666666667,918.666666666667,1505.40537176315,50,100,1378,0,1,0,0,0,1,0.25,15,0,15,15,15,6000,,6000,6000,6000
SD,muni,0600000US4612562580,,,52,101,1.94230769230769,0.617021276595745,220.769230769231,458.754289326769,0,0,247,0.325,1,0,0,0,1,0.403846153846154,8.64516129032258,3.63820823205393,5,8,11,1336.19047619048,930.840889682421,300,1500,1600
SD,muni,0600000US4613523940,,,117,351,3,0.461538461538462,177.847826086957,369.608433576733,0,0,170,0.219298245614035,1,0,0,0,1,0.495726495726496,91.3220338983051,203.832202853057,6.5,7,10,1078.27586206897,798.615332235002,400,700,1500
SD,muni,0500000US46135,,,74,231,3.12162162162162,0.681818181818182,141.589285714286,316.790999458101,0,0,50,0.385964912280702,1,0,0,0,1,0.283783783783784,6.88679245283019,2.52419352968954,6,6,7,1544.28571428571,1030.47839098436,400,1750,2300
SD,muni,0600000US4613543020,,,195,556,2.85128205128205,0.333333333333333,236.169117647059,398.689195854449,0,0,300,0.355555555555556,1,0,0,0,1,0.553846153846154,8.81609195402299,2.81824923234837,7,8,9,1443.14814814815,1160.92023452566,500,1200,1800
SD,muni,1600000US4673060,,,6422,19296,3.00467144191841,0.668096054888508,352.312433581297,650.294492864225,0,0,500,0.264457707347191,0.99112426035503,0.00607287449392713,0.00280286515104329,0,1,0.392547381946675,31.9906616862327,215.677516706028,10,16,25,170855.704991817,1284167.10949681,1000,2800,4500
TN,muni,0500000US47001,,,2575,7705,2.99223300970874,0.641411967283685,311.668457818377,550.275463001918,0,0,520,0.14954276492738,0.980970873786408,0.0190291262135922,0,0,1,0.528588098016336,10.1002485501243,7.13102149764416,6,8,12,1496.1331861663,1799.89521763692,400,1000,2000
TN,muni,0500000US47145,,,10814,33774,3.12317366376919,0.644054026607089,322.489960853643,592.820893388786,0,0,520,0.143719351188231,0.946735712964675,0.0532642870353246,0,0,1,0.432269437743552,42.9375726382202,288.459981910175,5,8,15,183922.212062674,1338277.72361695,400,1000,2000
TN,muni,0500000US47003,,,3956,10586,2.67593528816987,0.738636363636364,359.621438746439,577.392157113009,0,0,600,0.216987865810136,0.841759352881699,0.155712841253792,0.00252780586450961,0,1,0.357656731757451,45.8530140379851,256.00979179645,6,10,15,211139.499281609,1428366.95311393,1200,2500,4000
TN,muni,0500000US47149,,,6234,16746,2.68623676612127,0.766765371886431,307.199914929817,589.051208400288,0,0,432,0.23528192371476,0.82130253448829,0.17869746551171,0,0,1,0.362356368344392,56.7881595881596,430.333790361045,5,10,20,92265.3206788745,940825.781989429,1200,2500,4000
TN,muni,0500000US47009,,,7117,21709,3.05030209357876,0.727042431918936,470.201065509077,721.613894415722,0,0,959.25,0.111504424778761,0.794857383729099,0.205142616270901,0,0,1,0.242463209029861,23.4658480429777,133.964595838596,8,10,17,279290.597525044,1641093.56319363,900,1700,3500
TN,muni,0500000US47011,,,2408,6591,2.73712624584718,0.663729128014842,411.05944931164,690.143913078367,0,0,750,0.196054254007398,0.941029900332226,0.0589700996677741,0,0,1,0.338371116708648,24.5459807073955,169.303717291706,8,12,20,164757.465260546,1260061.59288679,1250,2500,4425
TN,muni,0500000US47013,,,3909,12061,3.08544384753134,0.599303135888502,311.360222531293,638.093031464292,0,0,420,0.122307157748436,0.898439498592991,0.101304681504221,0,0.000255819902788437,1,0.55074703760948,17.5551724137931,79.4116074307614,5,10,15,5980.78484565014,216246.837683822,300,600,2000
TN,muni,0500000US47015,,,583,1620,2.77873070325901,0.411439114391144,220.7109375,512.323354041926,0,0,200,0.389312977099237,0.888507718696398,0.111492281303602,0,0,1,0.538593481989708,26.185873605948,85.0587748138586,5,8,10,193482.796178344,1370907.01659317,1000,2000,3500
TN,muni,0500000US47019,,,5658,17474,3.08837044892188,0.786763185108583,672.152808988764,802.288089749594,0,500,1040,0.0938833570412518,0.962000706963591,0.0379992930364086,0,0,1,0.532347175191588,134.09033530572,487.356296312394,10,15,25,651766.415801808,2464153.34161556,1000,2000,3700
TN,muni,0500000US47021,,,778,2364,3.03856041131105,0.656467315716273,256.09298245614,521.000298654877,0,0,350,0.0332749562171629,0.886889460154242,0.113110539845758,0,0,1,0.410553410553411,40.1977528089888,248.294228424288,5,6,10,33057.8934169279,559797.367491772,1000,1750,2500
TN,muni,0500000US47023,,,1321,3615,2.73656320968963,0.705254515599343,281.341487279843,472.416696967717,0,0,400,0.360454115421003,0.917486752460257,0.0825132475397426,0,0,1,0.437547312641938,9.62021857923497,5.75947690627921,5,8,12,192577.169550173,1367212.08249895,1200,2000,3000
TN,muni,0500000US47029,,,1298,3768,2.90292758089368,0.634760705289673,401.616487455197,692.12026008262,0,100,600,0.37424789410349,0.966101694915254,0.0331278890600925,0,0.000770416024653313,1,0.47421875,99.7445482866044,634.133324694558,6,10,17,546185.691927513,2268643.5116019,550,2500,4500
TN,muni,0500000US47031,,,4701,12927,2.74984045947671,0.643683589138135,306.693511667615,538.603001265688,0,0,500,0.23453975491593,0.886832588810891,0.113167411189109,0,0,1,0.459802235597593,20.1261044176707,133.926783909935,6,9,15,202982.823749416,1403570.90771452,500,1500,3000
TN,muni,0500000US47033,,,2853,7525,2.63757448300035,0.676104190260476,202.05031731641,459.345466213573,0,0,200,0.25123818099955,0.770767613038906,0.229232386961094,0,0,1,0.465419901199718,10.4057104913679,61.5422773459306,4,6,10,100072.779378317,988091.614537278,600,1200,2000
