cbdname,region_all,WRLURI_metro2,Tot_FrcDev50_01,Tot_FrcUnavail50_01,numtracts,region_gamma101a_units_IV,region_gamma201a_units_IV,region_gamma101a_space_IV,region_gamma201a_space_IV
Fresno,2840,1.1067970991134644,0.035887349396944046,0.15594841539859772,159,0.5099709033966064,0.5558494329452515,0.6139163970947266,0.6501287221908569
Gadsden,2880,-0.5143112540245056,0.022233208641409874,0.28474029898643494,28,0.5284113883972168,0.5455130934715271,0.5805569887161255,0.594977855682373
Gainesville,2900,0.07176815718412399,0.015473444946110249,0.17015893757343292,43,0.733962893486023,0.7416785359382629,0.7986177206039429,0.8062188625335693
Gary,2960,-0.6946079134941101,0.1216026097536087,0.044128742069005966,166,0.5222584009170532,0.5605936646461487,0.6242271661758423,0.6524776220321655
"GlensFalls,NY",2975,0,0.015016741119325161,0.5771326422691345,33,0.6021571159362793,0.6168716549873352,0.6469906568527222,0.6579834222793579
"Goldsboro,NC",2980,-0.4236501157283783,0.017410490661859512,0.2054121494293213,21,0.7610087394714355,0.7689944505691528,0.8474048376083374,0.8534302115440369
Grand Forks,2985,0,0.010576554574072361,0.03571399673819542,27,0.7623538374900818,0.7820649743080139,0.8398022651672363,0.8555368781089783
Grand Rapids,3000,-0.10959985107183456,0.0550447516143322,0.12201515585184097,161,0.34756040573120117,0.39348793029785156,0.4428708553314209,0.47853049635887146
Great Falls,3040,-0.009991539642214775,0.006443179678171873,0.3617936372756958,23,0.4871000051498413,0.5234166979789734,0.5461673140525818,0.5734694004058838
Green Bay,3080,0.5995091199874878,0.03147720545530319,0.12075591087341309,50,0.4808385670185089,0.502416729927063,0.5713161826133728,0.5893902778625488
Greensboro,3120,-0.23239891231060028,0.05195941776037216,0.07181627303361893,221,0.3536345958709717,0.39043867588043213,0.42228052020072937,0.44877001643180847
Greenville,3160,-0.9056111574172974,0.04574703425168991,0.23408013582229614,91,0.4340429902076721,0.4464939832687378,0.4809071123600006,0.4908495843410492
Hagerstown,3180,0.33264943957328796,0.029027655720710754,0.3275138735771179,32,0.5272714495658875,0.5634769201278687,0.5670605897903442,0.5962753891944885
Harrisburg,3240,0.503768265247345,0.049548208713531494,0.3554278612136841,111,0.39132654666900635,0.4366282522678375,0.4507763981819153,0.4856087267398834
Hartford,9004,0.4486112892627716,0.07567084580659866,0.31224194169044495,261,0.28003373742103577,0.32544636726379395,0.3511527180671692,0.3874254524707794
"Hattiesburg, MS",3285,0,0.01352484617382288,0.12809555232524872,23,0.5755212903022766,0.5975341200828552,0.6178826689720154,0.6357395648956299
"Hickory-Morganton,NC",3290,-0.5593679547309875,0.029635488986968994,0.3546699583530426,69,0.5378648638725281,0.5519709587097168,0.579639732837677,0.5897606611251831
"Hopkinsville, KY",1661,0,0.011870218440890312,0.21755526959896088,15,0.6269700527191162,0.6433999538421631,0.6811574101448059,0.6914562582969666
"Houma-Thibodaux,LA",3350,0,0.015974361449480057,0.8248694539070129,42,0.764819860458374,0.7861869931221008,0.8530053496360779,0.8690729737281799
Houston,3360,-0.2730966806411743,0.17993925511837006,0.11793842911720276,886,0.3917641043663025,0.43945205211639404,0.5194762349128723,0.5553522109985352
"Huntington-Ashland,WV-OH Part",3400,-1.2046234607696533,0.026289623230695724,0.6567058563232422,75,0.4468655288219452,0.4891601800918579,0.4998060464859009,0.5310689806938171
Huntsville,3440,-1.2286460399627686,0.026707390323281288,0.273286372423172,87,0.5820934176445007,0.59332674741745,0.629779577255249,0.6392050385475159
Iowa City,3500,-0.8486678600311279,0.02487054467201233,0.07573622465133667,22,0.38639235496520996,0.4334147274494171,0.44311386346817017,0.4850165843963623
Jackson,3520,0,0.02797446958720684,0.17432408034801483,37,0.5312241315841675,0.5654626488685608,0.6113930344581604,0.64129239320755
Jackson,3560,-0.6815981268882751,0.023224545642733574,0.1618529111146927,104,0.598019540309906,0.616409420967102,0.6469703316688538,0.66419917345047
"Jackson,TN",3580,-1.1300251483917236,0.013476036489009857,0.14114931225776672,27,0.5121252536773682,0.5202996730804443,0.5642210841178894,0.5703444480895996
"Jacksonville,NC",3605,0,0.010555320419371128,0.24179644882678986,26,0.7880876064300537,0.8013230562210083,0.8805955648422241,0.8893057703971863
