bord,var,data,spec,coef,se
09,LOG_inc_clean,hmda,22,0.0271949145897299,0.00549926761861946
10,LOG_PRICE,deed,11,0.236520122662986,0.0101024584192086
10,LOG_PRICE,mls,11,0.120343821115095,0.0344743137376359
10,i_white,hmda,11,0.0450523057079756,0.00393373794441327
10,LOG_inc_clean,hmda,11,0.179167524640117,0.00802119692456053
10,LOG_PRICE,deed,12,0.0487565242026264,0.00605976423811396
10,LOG_PRICE,mls,12,0.0261015012745307,0.018939407756592
10,i_white,hmda,12,0.0245860095965606,0.0037306971787311
10,LOG_inc_clean,hmda,12,0.0291526635914621,0.00544187105226301
10,LOG_PRICE,deed,21,0.197385658377556,0.0104538053532323
10,LOG_PRICE,mls,21,0.097139425973354,0.0359864574001346
10,i_white,hmda,21,0.0365376093520259,0.00369892860977653
10,LOG_inc_clean,hmda,21,0.150479159977867,0.00920916699109096
10,LOG_PRICE,deed,22,0.0487565242026264,0.00605976423811396
10,LOG_PRICE,mls,22,0.0261015012745307,0.018939407756592
10,i_white,hmda,22,0.0245860095965606,0.0037306971787311
10,LOG_inc_clean,hmda,22,0.0291526635914621,0.00544187105226301
