fid,mode,region,agency,name,year_open,cost_usd,riders,status,notes,web,grade,construct,automated,year_clos,ffga_date,ffga_cost,ffga_shr,reference,limited,country,brt_rating,project,route_km,brt_year,through
"46099",Commuter Rail,New York NY USA,New York Central,New York and Putnam Railroad,"1881",,,closed,,,at grade,,,"1958",,,,"Yonah Freemark; OpenStreetMap contributors","0",USA,,New York and Putnam Railroad,79.1674476350746,,"0"
"46100",Commuter Rail,New York NY USA,Metro-North,Beacon Line,"1869",,,closed,Purchased by Metro-North for potential future use.,,at grade,,,"1927",,,,"Yonah Freemark; OpenStreetMap contributors","0",USA,,Beacon Line,75.3891374988955,,"0"
"46185",Streetcar,Toronto ON CAN,TTC,504 King - Dufferin Loop,"1923",,,existing,,,at grade,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",CAN,,504 King - Dufferin Loop,0.733669806241573,,"0"
"46186",Streetcar,Toronto ON CAN,TTC,Dufferin-Exhibition Loop Connection (Waterfront LRT),,,,proposed,,https://www.toronto.ca/city-government/planning-development/planning-studies-initiatives/waterfront-transit-reset/,at grade,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",CAN,,Dufferin-Exhibition Loop Connection (Waterfront LRT),0.685255291124764,,"0"
"46187",Streetcar,Toronto ON CAN,TTC,Queens Quay East (Waterfront LRT),,,,proposed,,https://www.toronto.ca/city-government/planning-development/planning-studies-initiatives/waterfront-transit-reset/,at grade,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",CAN,,Queens Quay East (Waterfront LRT),2.79897096721195,,"0"
"46214",Light Metro,New York NY USA,PANYNJ,Newark EWR AirTrain,,3500,,uc,,https://www.ewrredevelopment.com/about-airtrain-ewr/,elevated,2025-2030,,,,,,"Yonah Freemark; OpenStreetMap contributors","1",USA,,Newark EWR AirTrain Replacement,3.59273559230604,,"0"
"46224",Metro,Los Angeles CA USA,Metro,Sepulveda Corridor Phase II,,,,proposed,,https://www.metro.net/projects/sepulvedacorridor/,elevated,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",USA,,Sepulveda Corridor Phase II,11.635398866857,,"0"
"46436",Light Rail,Toronto ON CAN,TTC,Line 7,,3140,,planned,,https://www.toronto.ca/services-payments/streets-parking-transportation/transit-in-toronto/transit-expansion/eglinton-east-light-rail-transit/eglinton-east-lrt-project-map/,at grade,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",CAN,,Eglinton East LRT,17.9104804290535,,"0"
"46437",Bus Rapid Transit,Ottawa ON CAN,STO,Gatineau Rapibus,"2023",,,existing,,http://www.sto.ca/index.php?id=rapibus&L=en,at grade,2021-2023,,,,,,Yonah Freemark,"0",CAN,,Rapibus Lorrain Extension,2.83300784012366,,"0"
"46438",Aerial Tram,Mexico MEX,STE,Cablebus Linea 1,"2021",,,existing,,,elevated,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Cablebus Linea 1,7.65253898337733,,"0"
"46439",Aerial Tram,Mexico MEX,,Cablebus Linea 1,"2021",,,existing,,,elevated,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Cablebus Linea 1,1.729414959864,,"0"
"46440",Streetcar,Charlotte NC USA,,Lakewood/West End Trolley,,,,cancelled,Project never received public support,http://www.lakewoodtrolley.org/main,at grade,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",USA,,Lakewood/West End Trolley,2.63639162594898,,"0"
"46442",Bus Rapid Transit,Halifax NS CAN,,Green Line,,,,proposed,,https://www.halifax.ca/transportation/transportation-projects/transforming-transit,at grade,,,,,,,Yonah Freemark,"0",CAN,,Green Line,10.4301448832099,,"0"
"46443",Bus Rapid Transit,Halifax NS CAN,,Red Line,,,,proposed,,https://www.halifax.ca/transportation/transportation-projects/transforming-transit,at grade,,,,,,,Yonah Freemark,"0",CAN,,Red Line,12.3031374009789,,"0"
